url,name,price
/catalog/earring_58181.html,"Серьги с 2 бриллиантами, 0.11 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; Желтое золото 585 пробы.",34 990 ₽
/catalog/bracelets_91913.html,Браслет Желтое золото 585 пробы.,179 990 ₽
/catalog/ring_108790.html,"Кольцо с 55 бриллиантами, 0.13 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки Б; Розовое золото 585 пробы.",32 990 ₽
/catalog/ring_47720.html,"Кольцо с 1 бриллиантом, 0.05 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; Розовое золото 585 пробы.",14 990 ₽
/catalog/chains_111008.html,Цепь Розовое золото 585 пробы.,76 070 ₽
/catalog/earring_146538.html,"Серьги с 2 бриллиантами, 0.15 карат, огранка круг 57 граней, цвет 5, чистота 7, тип огранки А; Розовое золото 585 пробы.",29 990 ₽
/catalog/earring_235978.html,Серьги Розовое золото 585 пробы.,20 990 ₽
/catalog/chains_117517.html,Цепь ручной работы. Розовое золото 585 пробы.,505 760 ₽
/catalog/earring_41841.html,"Серьги, вставка: фианит бесцветный; Розовое золото 585 пробы.",6 990 ₽
/catalog/ring_241121.html,"Кольцо, вставка: фианит бесцветный; Розовое золото 585 пробы.",7 490 ₽
/catalog/ring_146537.html,"Кольцо «БРИЛЛИАНТЫ ЯКУТИИ» с 1 бриллиантом, 0.083 карат, огранка круг 57 граней, цвет 5, чистота 7, тип огранки А; Розовое золото 585 пробы.",16 990 ₽
/catalog/earring_81222.html,"Серьги с 2 бриллиантами, 0.12 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 12 бриллиантами, 0.25 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 12 бриллиантами, 0.04 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки Б; Розовое золото 585 пробы.",94 990 ₽
/catalog/chains_35525.html,"Цепь Розовое золото 585 пробы. ЦЕПЬ ОБЛЕГЧЕННАЯ. ТРЕБУЕТ БЕРЕЖНОГО ОБРАЩЕНИЯ. Украшение произведено по итальянской технологии изготовления облегченных (пустотелых) ювелирных изделий. Оно требует аккуратного и бережного обращения. Снимайте украшение, когда выполняете работу по дому, занимаетесь спортом, принимаете душ или ванну, посещаете сауну, бассейн, а также перед сном. Избегайте жестких касаний ювелирного изделия с твердыми поверхностями и предметами.",18 528 ₽
/catalog/chains_46797.html,Цепь Розовое золото 585 пробы.,33 592 ₽
/catalog/ring_238293.html,"Кольцо «Бриллианты Якутии» с 1 бриллиантом, 0.019 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 30 бриллиантами, 0.124 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки Б; Розовое и белое золото 585 пробы.",54 990 ₽
/catalog/ring_56703.html,"Кольцо с 1 бриллиантом, 0.05 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 6 бриллиантами, 0.11 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 16 бриллиантами, 0.04 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки А; Белое золото 585 пробы.",59 990 ₽
/catalog/ring_69933.html,"Кольцо с 1 гидротермальным изумрудом, 0.26 карат, тип огранки Б; 24 бриллиантами, 0.04 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки Б; Желтое золото 585 пробы.",15 990 ₽
/catalog/ring_327285.html,"Кольцо, вставка: фианит; Серебро 925 пробы.",1 890 ₽
/catalog/pendants_328275.html,"Подвеска с 4 бриллиантами, 0.3 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 4 бриллиантами, 0.22 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 1 бриллиантом, 0.04 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; Белое золото 585 пробы.",139 990 ₽
/catalog/earring_130996.html,"Серьги с 2 топазами скай, тип огранки В; фианит бесцветный; Розовое золото 585 пробы.",15 990 ₽
/catalog/earring_81220.html,"Серьги с 2 бриллиантами, 0.11 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 12 бриллиантами, 0.21 карат, огранка круг 57 граней, цвет 3, чистота 6, тип огранки А; 14 бриллиантами, 0.04 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки Б; Белое золото 585 пробы.",94 990 ₽
/catalog/earring_57987.html,"Серьги с 6 сапфирами, 0.15 карат, цвет 2, чистота 2, тип огранки В; 18 бриллиантами, 0.03 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки Б; Розовое золото 585 пробы.",42 990 ₽
/catalog/ring_46588.html,"Кольцо, вставка: фианит бесцветный; Розовое золото 585 пробы.",8 990 ₽
/catalog/earring_58796.html,"Серьги с 4 изумрудами, 0.07 карат, цвет 3, чистота 3, тип огранки В; 8 бриллиантами, 0.01 карат, огранка круг 17 граней, цвет 2, чистота 2, тип огранки Б; Розовое золото 585 пробы.",15 990 ₽
